No,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,TradePrice,FloorPlan,Area,AreaIsGreaterFlag,UnitPrice,PricePerTsubo,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Year,Quarter,Renovation,Remarks
17228,Agricultural Land,,36383,Tokushima Prefecture,"Mugi Town,Kaifu County",Oaza Nakamura,,,,,71000,,120,0,,,,,False,,0,,0,,,,,,,,,,3rd quarter 2013,2013,3,,
9849,Residential Land(Land and Building),Commercial Area,36403,Tokushima Prefecture,"Aizumi Town,Itano County",Tomiyoshi,Shozui,30-60minutes,30.0,60.0,16000000,,460,0,,,Irregular Shaped,,False,70.0,0,1982.0,0,LS,Shop,,Northwest,Prefectural Road,16.0,Non-divided City Planning Area,60.0,200.0,1st quarter 2014,2014,1,,
2052,Residential Land(Land Only),Commercial Area,36201,Tokushima Prefecture,Tokushima City,Tsudahoncho,Bunkanomori,30-60minutes,30.0,60.0,4900000,,100,0,49000.0,160000.0,Semi-rectangular Shaped,8.0,False,,0,,0,,,Other,Northwest,Prefectural Road,12.0,Category I Residential Zone,,,3rd quarter 2015,2015,3,,
5356,Residential Land(Land and Building),Residential Area,36204,Tokushima Prefecture,Anan City,Higainocho,Anan,10,10.0,10.0,12000000,,230,0,,,Semi-square Shaped,14.9,False,85.0,0,1971.0,0,S,House,House,Northwest,City Road,6.0,Category I Exclusively Low-story Residential Zone,50.0,80.0,1st quarter 2019,2019,1,,
8842,Residential Land(Land and Building),Residential Area,36387,Tokushima Prefecture,"Minami Town,Kaifu County",Higashiyuki,Yuki,9,9.0,9.0,1000000,,95,0,,,Semi-rectangular Shaped,7.0,False,65.0,0,1982.0,0,W,House,House,South,Town Road,2.4,Outside City Planning Area,,,1st quarter 2015,2015,1,,
10473,Residential Land(Land Only),Residential Area,36489,Tokushima Prefecture,"Higashimiyoshi Town,Miyoshi County",Kamo,Awakamo,12,12.0,12.0,6000000,,400,0,15000.0,50000.0,Semi-rectangular Shaped,44.0,False,,0,,0,,,,Northeast,Private Road,4.0,Outside City Planning Area,,,2nd quarter 2016,2016,2,,
10530,Agricultural Land,,36489,Tokushima Prefecture,"Higashimiyoshi Town,Miyoshi County",Kamo,,,,,79000,,15,0,,,,,False,,0,,0,,,,,,,,,,3rd quarter 2015,2015,3,,
14374,Residential Land(Land and Building),Commercial Area,36201,Tokushima Prefecture,Tokushima City,Tomidabashi,Awatomida,4,4.0,4.0,8700000,,50,0,,,Rectangular Shaped,5.2,False,135.0,0,,0,S,Office,,West,City Road,16.0,Commercial Zone,80.0,400.0,2nd quarter 2012,2012,2,,
187,Residential Land(Land Only),Potential Residential Area,36201,Tokushima Prefecture,Tokushima City,Otanicho,Jizobashi,19,19.0,19.0,21000000,,1700,0,12000.0,40000.0,Semi-trapezoidal Shaped,,False,,0,,0,,,,Northwest,City Road,4.0,Category I Residential Zone,60.0,200.0,3rd quarter 2015,2015,3,,
20149,Residential Land(Land Only),Residential Area,36201,Tokushima Prefecture,Tokushima City,Minamishowacho,Awatomida,19,19.0,19.0,25000000,,200,0,120000.0,410000.0,Semi-rectangular Shaped,10.6,False,,0,,0,,,,Southwest,City Road,5.0,Category I Residential Zone,60.0,200.0,2nd quarter 2007,2007,2,,
